"","series","baker_first_name","baker_last_name","baker_age","baker_occupation","hometown","episode","technical","result","signature_bake","show_stopper"
"136",2,"Janet","Basu",63,"Teacher of Modern Languages","Formby, Liverpool",7,4,"OUT","Chocolate Amaretto Mousse Cake","Pain Aux RaisinPlain CroissantPain Au Chocolat"
"137",2,"Ben","Frazer",31,"Graphic Designer","Northampton",7,NA,NA,NA,NA
"138",2,"Ian","Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire",7,NA,NA,NA,NA
"139",2,"Jason","White",19,"Civil Engineering Student","Croydon",7,NA,NA,NA,NA
"140",2,"Keith","Batsford",31,"House husband","Arlesey, Bedfordshire",7,NA,NA,NA,NA
"141",2,"Robert","Billington",25,"Photographer","London",7,NA,NA,NA,NA
"142",2,"Simon","Blackwell",31,"Rugby Coach","Norfolk",7,NA,NA,NA,NA
"143",2,"Urvashi","Roe",40,"Head of Marketing","Enfield, London",7,NA,NA,NA,NA
"144",2,"Yasmin","Limbert",43,"Childminder","West Kirby, The Wirral",7,NA,NA,NA,NA
"145",2,"Holly","Bell",31,"Advertising executive","Leicester",8,2,"Runner-up","Banoffee Inspired Mille Feuille","Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich"
"146",2,"Mary-Anne","Boermans",45,"Housewife","Kidderminster, Worcestershire",8,3,"Runner-up","Lemon and Ginger Mille Feuille","Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub"
"147",2,"Jo","Wheatley",41,"Housewife","Ongar, Essex",8,1,"WINNER","Raspberry and Blueberry Mille Feuille","Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse"
"148",2,"Ben","Frazer",31,"Graphic Designer","Northampton",8,NA,NA,NA,NA
"149",2,"Ian","Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire",8,NA,NA,NA,NA
"150",2,"Janet","Basu",63,"Teacher of Modern Languages","Formby, Liverpool",8,NA,NA,NA,NA
"151",2,"Jason","White",19,"Civil Engineering Student","Croydon",8,NA,NA,NA,NA
"152",2,"Keith","Batsford",31,"House husband","Arlesey, Bedfordshire",8,NA,NA,NA,NA
"153",2,"Robert","Billington",25,"Photographer","London",8,NA,NA,NA,NA
"154",2,"Simon","Blackwell",31,"Rugby Coach","Norfolk",8,NA,NA,NA,NA
"155",2,"Urvashi","Roe",40,"Head of Marketing","Enfield, London",8,NA,NA,NA,NA
"156",2,"Yasmin","Limbert",43,"Childminder","West Kirby, The Wirral",8,NA,NA,NA,NA
"157",3,"Brendan","Lynch",63,"Recruitment consultant","Sutton Coldfield",1,10,"IN","Plum, Sour Cherry & Walnut","UNKNOWN"
"158",3,"Cathryn","Dresser",27,"Shop assistant","Pease Pottage, West Sussex",1,5,"IN","Apple, Hazelnut and Calvados","Hidden Cupcake Cake"
"159",3,"Danny","Bryden",45,"Intensive care consultant","Sheffield",1,7,"IN","Plum, Ginger & Orange","UNKNOWN"
"160",3,"James","Morton",21,"Medical student","Hillswick, Shetland Islands",1,2,"IN","Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake"
